street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
510 Brighton Road,510,Brighton Road,ADELAIDE,5000,"510 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999315,138.521678,4,Major Cities of Australia,mapbox_api
743 Grenfell Street,743,Grenfell Street,ADELAIDE,5000,"743 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608693,4,Major Cities of Australia,mapbox_api
Palmer Place,378,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
562 Lower North East Road,562,Lower North East Road,ADELAIDE,5000,"562 Lower North East Road, Campbelltown South Australia 5074, Australia",CITY OF ADELAIDE,-34.883772,138.660512,4,Major Cities of Australia,mapbox_api
442 Carrington Street,442,Carrington Street,ADELAIDE,5000,"442 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.9313,138.604416,4,Major Cities of Australia,mapbox_api
Whitmore Square,690,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
Church Street,211,Church Street,ADELAIDE,5000,"Church Street, Glenelg South South Australia 5045, Australia",CITY OF ADELAIDE,-34.991075,138.515159,4,Major Cities of Australia,mapbox_api
South Terrace,112,South Terrace,MURRAY BRIDGE,5253,"South Terrace, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.119932,139.275992,2,Inner Regional Australia,mapbox_api
66 Pulteney Street,66,Pulteney Street,ADELAIDE,5000,"66 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921789,138.605512,4,Major Cities of Australia,mapbox_api
21 Currie Street,21,Currie Street,ADELAIDE,5000,"21 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924723,138.591846,4,Major Cities of Australia,mapbox_api
432 Grand Junction Road,432,Grand Junction Road,ADELAIDE,5000,"432 Grand Junction Road, Clearview South Australia 5085, Australia",CITY OF ADELAIDE,-34.847821,138.61256,4,Major Cities of Australia,mapbox_api
748 Henley Beach Road,748,Henley Beach Road,ADELAIDE,5000,"748 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.569599,4,Major Cities of Australia,mapbox_api
319 Churchill Road,319,Churchill Road,ADELAIDE,5000,"319 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891258,138.585311,4,Major Cities of Australia,mapbox_api
818 Goodwood Road,818,Goodwood Road,ADELAIDE,5000,"818 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.948595,138.589431,4,Major Cities of Australia,mapbox_api
569 Gawler Place,569,Gawler Place,ADELAIDE,5000,"569 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
116 Torrens Road,116,Torrens Road,ADELAIDE,5000,"116 Torrens Road, Croydon Park South Australia 5008, Australia",CITY OF ADELAIDE,-34.883785,138.562642,4,Major Cities of Australia,mapbox_api
286 George Street,286,George Street,ADELAIDE,5000,"286 George Street, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.905149,138.59618,4,Major Cities of Australia,mapbox_api
170 Hurtle Square,170,Hurtle Square,ADELAIDE,5000,"170 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933227,138.606423,4,Major Cities of Australia,mapbox_api
50 West Terrace,50,West Terrace,ADELAIDE,5000,"50 West Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92671,138.58777,4,Major Cities of Australia,mapbox_api
East Terrace,506,East Terrace,MURRAY BRIDGE,5253,"East Terrace, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118247,139.278758,2,Inner Regional Australia,mapbox_api
792 Goodwood Road,792,Goodwood Road,ADELAIDE,5000,"792 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.948594,138.589431,4,Major Cities of Australia,mapbox_api
437 Main Street,437,Main Street,ADELAIDE,5000,"437 Main Street, Seaford South Australia 5169, Australia",CITY OF ADELAIDE,-35.187133,138.47768,4,Major Cities of Australia,mapbox_api
103 Whitmore Square,103,Whitmore Square,ADELAIDE,5000,"103 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932359,138.594894,4,Major Cities of Australia,mapbox_api
255 Port Road,255,Port Road,ADELAIDE,5000,"255 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.903533,138.570633,4,Major Cities of Australia,mapbox_api
284 Light Square,284,Light Square,ADELAIDE,5000,"284 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925342,138.594284,4,Major Cities of Australia,mapbox_api
King Street,630,King Street,VICTOR HARBOR,5211,"King Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.556928,138.618675,3,Inner Regional Australia,mapbox_api
622 Gawler Place,622,Gawler Place,ADELAIDE,5000,"622 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
Halifax Street,713,Halifax Street,KEITH,5267,"Halifax Street, Keith South Australia 5267, Australia",THE DISTRICT COUNCIL OF TATIARA,-36.095752,140.348204,0,Outer Regional Australia,mapbox_api
Hurtle Square,672,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
118 Grand Junction Road,118,Grand Junction Road,ADELAIDE,5000,"118 Grand Junction Road, Blair Athol South Australia 5084, Australia",CITY OF ADELAIDE,-34.848771,138.592695,4,Major Cities of Australia,mapbox_api
511 Gawler Place,511,Gawler Place,ADELAIDE,5000,"511 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925172,138.602027,4,Major Cities of Australia,mapbox_api
King Street,248,King Street,PORT AUGUSTA,5700,"King Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.489067,137.780398,2,Outer Regional Australia,mapbox_api
174 Victoria Street,174,Victoria Street,ADELAIDE,5000,"174 Victoria Street, Glandore South Australia 5037, Australia",CITY OF ADELAIDE,-34.962582,138.567291,4,Major Cities of Australia,mapbox_api
323 Unley Road,323,Unley Road,ADELAIDE,5000,"323 Unley Road, Unley Park South Australia 5061, Australia",CITY OF ADELAIDE,-34.960696,138.608258,4,Major Cities of Australia,mapbox_api
188 Palmer Place,188,Palmer Place,ADELAIDE,5000,"188 Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.909829,138.595278,4,Major Cities of Australia,mapbox_api
371 Main North Road,371,Main North Road,ADELAIDE,5000,"371 Main North Road, Enfield South Australia 5085, Australia",CITY OF ADELAIDE,-34.86381,138.601658,4,Major Cities of Australia,mapbox_api
544 Flinders Street,544,Flinders Street,ADELAIDE,5000,"544 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921931,138.62288,4,Major Cities of Australia,mapbox_api
594 Henley Beach Road,594,Henley Beach Road,ADELAIDE,5000,"594 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926463,138.509491,4,Major Cities of Australia,mapbox_api
574 Light Square,574,Light Square,ADELAIDE,5000,"574 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925294,138.594281,4,Major Cities of Australia,mapbox_api
768 Port Road,768,Port Road,ADELAIDE,5000,"768 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905356,138.571739,4,Major Cities of Australia,mapbox_api
536 Hindley Street,536,Hindley Street,ADELAIDE,5000,"536 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
818 Gawler Place,818,Gawler Place,ADELAIDE,5000,"818 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925169,138.602027,4,Major Cities of Australia,mapbox_api
13 Port Road,13,Port Road,ADELAIDE,5000,"13 Port Road, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921559,138.586981,4,Major Cities of Australia,mapbox_api
981 Prospect Road,981,Prospect Road,ADELAIDE,5000,"981 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.857527,138.592004,4,Major Cities of Australia,mapbox_api
834 Uley Road,834,Unley Road,ADELAIDE,5000,"834 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698456,138.713344,4,Major Cities of Australia,mapbox_api
Elizabeth Street,904,Elizabeth Street,ADELAIDE,5000,"Elizabeth Street, Glenelg South Australia 5045, Australia",CITY OF ADELAIDE,-34.981097,138.512282,4,Major Cities of Australia,mapbox_api
654 Hindley Street,654,Hindley Street,ADELAIDE,5000,"654 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
147 Hurtle Square,147,Hurtle Square,ADELAIDE,5000,"147 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933227,138.606423,4,Major Cities of Australia,mapbox_api
578 Hindley Street,578,Hindley Street,ADELAIDE,5000,"578 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
Upper Sturt Road,690,Upper Sturt Road,ADELAIDE,5000,"Upper Sturt Road, Belair South Australia 5052, Australia",CITY OF ADELAIDE,-34.999194,138.632515,4,Major Cities of Australia,mapbox_api
344 Port Road,344,Port Road,ADELAIDE,5000,"344 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.90274,138.567124,4,Major Cities of Australia,mapbox_api
460 Hindley Street,460,Hindley Street,ADELAIDE,5000,"460 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
461 Goodwood Road,461,Goodwood Road,ADELAIDE,5000,"461 Goodwood Road, Colonel Light Gardens South Australia 5041, Australia",CITY OF ADELAIDE,-34.9777,138.591743,4,Major Cities of Australia,mapbox_api
177 Whitmore Square,177,Whitmore Square,ADELAIDE,5000,"177 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932359,138.594894,4,Major Cities of Australia,mapbox_api
10 Brighton Road,10,Brighton Road,ADELAIDE,5000,"10 Brighton Road, Glenelg East South Australia 5045, Australia",CITY OF ADELAIDE,-34.977223,138.520407,4,Major Cities of Australia,mapbox_api
343 Wellington Square,343,Wellington Square,ADELAIDE,5000,"343 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907134,138.590652,4,Major Cities of Australia,mapbox_api
405 Unley Road,405,Unley Road,ADELAIDE,5000,"405 Unley Road, Unley Park South Australia 5061, Australia",CITY OF ADELAIDE,-34.960203,138.60822,4,Major Cities of Australia,mapbox_api
219 Hindley Street,219,Hindley Street,ADELAIDE,5000,"219 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923382,138.591581,4,Major Cities of Australia,mapbox_api
32 Whitmore Square,32,Whitmore Square,ADELAIDE,5000,"32 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932792,138.595215,4,Major Cities of Australia,mapbox_api
164 Currie Street,164,Currie Street,ADELAIDE,5000,"164 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924495,138.596578,4,Major Cities of Australia,mapbox_api
916 Torrens Road,916,Torrens Road,ADELAIDE,5000,"916 Torrens Road, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.864212,138.530396,4,Major Cities of Australia,mapbox_api
864 Halifax Street,864,Halifax Street,ADELAIDE,5000,"864 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932089,138.616601,4,Major Cities of Australia,mapbox_api
851 Glen Osmond Road,851,Glen Osmond Road,ADELAIDE,5000,"851 Glen Osmond Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.963364,138.644124,4,Major Cities of Australia,mapbox_api
184 Cross Road,184,Cross Road,ADELAIDE,5000,"184 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965049,138.610127,4,Major Cities of Australia,mapbox_api
575 Port Road,575,Port Road,ADELAIDE,5000,"575 Port Road, West Croydon South Australia 5008, Australia",CITY OF ADELAIDE,-34.89281,138.55429,4,Major Cities of Australia,mapbox_api
879 Goodwood Road,879,Goodwood Road,ADELAIDE,5000,"879 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970183,138.591057,4,Major Cities of Australia,mapbox_api
740 Grenfell Street,740,Grenfell Street,ADELAIDE,5000,"740 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.609408,4,Major Cities of Australia,mapbox_api
385 Grenfell Street,385,Grenfell Street,ADELAIDE,5000,"385 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.60869,4,Major Cities of Australia,mapbox_api
146 Grenfell Street,146,Grenfell Street,ADELAIDE,5000,"146 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924106,138.604438,4,Major Cities of Australia,mapbox_api
223 Rundle Street,223,Rundle Street,ADELAIDE,5000,"223 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922625,138.606799,4,Major Cities of Australia,mapbox_api
276 Halifax Street,276,Halifax Street,ADELAIDE,5000,"276 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932659,138.604193,4,Major Cities of Australia,mapbox_api
210 East Terrace,210,East Terrace,ADELAIDE,5000,"210 East Terrace, Henley Beach South Australia 5022, Australia",CITY OF ADELAIDE,-34.908139,138.49677,4,Major Cities of Australia,mapbox_api
585 Light Square,585,Light Square,ADELAIDE,5000,"585 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925979,138.593218,4,Major Cities of Australia,mapbox_api
414 Elizabeth Street,414,Elizabeth Street,MURRAY BRIDGE,5253,"414 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.1182,139.263274,2,Inner Regional Australia,mapbox_api
300 Marion Road,300,Marion Road,ADELAIDE,5000,"300 Marion Road, Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.961,138.554508,4,Major Cities of Australia,mapbox_api
334 Grenfell Street,334,Grenfell Street,ADELAIDE,5000,"334 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.60941,4,Major Cities of Australia,mapbox_api
733 Pulteney Street,733,Pulteney Street,ADELAIDE,5000,"733 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934637,138.606464,4,Major Cities of Australia,mapbox_api
520 Light Square,520,Light Square,ADELAIDE,5000,"520 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925303,138.594282,4,Major Cities of Australia,mapbox_api
510 Marion Road,510,Marion Road,ADELAIDE,5000,"510 Marion Road, Plympton Park South Australia 5038, Australia",CITY OF ADELAIDE,-34.974749,138.555296,4,Major Cities of Australia,mapbox_api
200 Grenfell Street,200,Grenfell Street,ADELAIDE,5000,"200 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923954,138.607599,4,Major Cities of Australia,mapbox_api
82 Upper Sturt Road,82,Upper Sturt Road,ADELAIDE,5000,"82 Upper Sturt Road, Belair South Australia 5051, Australia",CITY OF ADELAIDE,-35.016068,138.639156,4,Major Cities of Australia,mapbox_api
219 Morphett Street,219,Morphett Street,ADELAIDE,5000,"219 Morphett Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.928088,138.593502,4,Major Cities of Australia,mapbox_api
137 Halifax Street,137,Halifax Street,ADELAIDE,5000,"137 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932848,138.602289,4,Major Cities of Australia,mapbox_api
891 Brighton Road,891,Brighton Road,ADELAIDE,5000,"891 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001594,138.521719,4,Major Cities of Australia,mapbox_api
438 Carrington Street,438,Carrington Street,ADELAIDE,5000,"438 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.9313,138.604417,4,Major Cities of Australia,mapbox_api
152 Port Road,152,Port Road,ADELAIDE,5000,"152 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.906227,138.572366,4,Major Cities of Australia,mapbox_api
605 Rundle Street,605,Rundle Street,ADELAIDE,5000,"605 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609331,4,Major Cities of Australia,mapbox_api
324 Magill Road,324,Magill Road,ADELAIDE,5000,"324 Magill Road, Kensington Park South Australia 5068, Australia",CITY OF ADELAIDE,-34.914533,138.651177,4,Major Cities of Australia,mapbox_api
622 Cross Road,622,Cross Road,ADELAIDE,5000,"622 Cross Road, Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.968122,138.552418,4,Major Cities of Australia,mapbox_api
787 Pulteney Street,787,Pulteney Street,ADELAIDE,5000,"787 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934638,138.606464,4,Major Cities of Australia,mapbox_api
753 Marion Road,753,Marion Road,ADELAIDE,5000,"753 Marion Road, Ascot Park South Australia 5043, Australia",CITY OF ADELAIDE,-34.983791,138.556329,4,Major Cities of Australia,mapbox_api
Church Street,900,Church Street,ADELAIDE,5000,"Church Street, Glenelg South South Australia 5045, Australia",CITY OF ADELAIDE,-34.991075,138.515159,4,Major Cities of Australia,mapbox_api
7 Torrens Road,7,Torrens Road,ADELAIDE,5000,"7 Torrens Road, Ovingham South Australia 5082, Australia",CITY OF ADELAIDE,-34.898778,138.586837,4,Major Cities of Australia,mapbox_api
319 East Terrace,319,West Terrace,ADELAIDE,5000,"319 East Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922883,138.610859,4,Major Cities of Australia,mapbox_api
